0,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2010-11-19,4,old,5
1,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2011-09-11,4,old,5
2,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2012-03-27,5,old,5
3,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2012-07-25,3,old,5
4,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2013-11-21,5,old,5
5,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2014-01-19,5,old,5
6,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2014-10-22,5,old,5
7,uzztTCsg3XAKlYqmLO40aw,Psychic Eye Book Shops,Las Vegas,4.0,2014-12-16,2,old,5
8,IspFZDcpu9W5NvvJ7QgJZg,Gap,Las Vegas,4.5,2010-11-06,5,old,1
9,IspFZDcpu9W5NvvJ7QgJZg,Gap,Las Vegas,4.5,2010-12-29,5,old,1
10,IspFZDcpu9W5NvvJ7QgJZg,Gap,Las Vegas,4.5,2012-03-23,5,old,1
11,IspFZDcpu9W5NvvJ7QgJZg,Gap,Las Vegas,4.5,2012-07-25,4,old,1
12,IspFZDcpu9W5NvvJ7QgJZg,Gap,Las Vegas,4.5,2012-10-14,4,old,1
13,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2010-05-19,4,old,0
14,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2011-09-06,4,old,0
15,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2011-12-26,3,old,0
16,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2012-11-06,4,old,0
17,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2013-02-20,2,old,0
18,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2013-05-29,3,old,0
19,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2014-04-23,1,old,0
20,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2014-05-11,1,old,0
21,Dvulg9cc3XHkt5DkBUekhw,Great Clips,Las Vegas,2.5,2014-06-15,4,old,0
22,zPWqckZlomy5n6CIfYS62Q,SuperPawn,Las Vegas,2.5,2011-03-26,3,new,5
